City,Gas,Electricity
WERKENDAM,1097771,399453
SLEEUWIJK,498071,209642
"NIEUWENDIJK NB",296671,124138
"WIJK EN AALBURG",587196,218070
VEEN,288856,104867
GENDEREN,179379,66465
EETHEN,103203,31023
DRONGELEN,59362,19449
MEEUWEN,73665,27374
BABYLONIENBROEK,63281,14566
DUSSEN,295674,100554
HANK,362367,134966
ANDEL,253216,93182
GIESSEN,181103,63148
"RIJSWIJK NB",156394,62530
WOUDRICHEM,413371,165915
ALMKERK,390742,142265
WAARDHUIZEN,32768,12894
UITWIJK,41993,13633
"BERGEN OP ZOOM",4347432,1636509
HOOGERHEIDE,877131,358989
WOENSDRECHT,129899,54616
HUIJBERGEN,222138,89169
OSSENDRECHT,512684,219377
PUTTE,386031,183288
"STEENBERGEN NB",1124736,422251
"DE HEEN",96890,25521
HALSTEREN,990426,411452
LEPELSTRAAT,217723,85235
DINTELOORD,497627,189694
"SINT PHILIPSLAND",5662,5662
NIEUW-VOSSEMEER,224427,87171
ROOSENDAAL,5608330,2270904
NISPEN,116279,53493
"ST. WILLEBRORD",912678,411156
SPRUNDEL,614810,230222
RUCPHEN,547090,183264
SCHIJF,214081,58636
WOUW,458972,189169
"WOUWSE PLANTAGE",223499,49268
HEERLE,204476,81814
MOERSTRATEN,101417,22378
OUDENBOSCH,1143337,476547
ZEGGE,243845,92863
HOEVEN,687536,254492
BOSSCHENHOOFD,279951,104924
"OUD GASTEL",761330,298761
STAMPERSGAT,124430,55732
KRUISLAND,297084,94766
STANDDAARBUITEN,222067,85282
NOORDHOEK,90935,36486
ZEVENBERGEN,1317596,503358
"ZEVENBERGSCHEN HOEK",153416,64191
"ZEVENBERGSCHEN HOEK DRI",12198,3338
LANGEWEG,75514,26362
MOERDIJK,157619,63761
KLUNDERT,547615,220522
FIJNAART,569530,209790
HEIJNINGEN,162131,48271
"OUDEMOLEN NB",42452,9937
"WILLEMSTAD NB",344432,140276
BREDA,11825999,3802554
PRINSENBEEK,1046969,421373
TERHEIJDEN,633763,222103
WAGENBERG,256427,97973
TETERINGEN,577453,242789
DORST,260716,99518
ULVENHOUT,470938,231697
"ULVENHOUT AC",85706,26411
BAVEL,672425,248265
GALDER,129453,41231
STRIJBEEK,54236,14407
CHAAM,501262,175345
ETTEN-LEUR,3497369,1230934
ZUNDERT,808128,342548
"KLEIN ZUNDERT",267900,83938
WERNHOUT,217844,84941
ACHTMAAL,248093,85032
RIJSBERGEN,645625,244130
"OOSTERHOUT NB",4278949,1537862
OOSTEIND,192275,57936
"DEN HOUT NB",131316,46221
MADE,1115497,399042
DRIMMELEN,81643,28217
"LAGE ZWALUWE",372041,155288
"HOOGE ZWALUWE",198381,63326
GEERTRUIDENBERG,526728,174342
RAAMSDONKSVEER,1295352,482978
RAAMSDONK,251522,84055
TILBURG,13464430,4068611
GOIRLE,1771556,658145
BERKEL-ENSCHOT,1054537,430542
"HEUKELOM NB",67769,20427
OISTERWIJK,2215015,781619
MOERGESTEL,649669,247115
UDENHOUT,776671,294625
BIEZENMORTEL,161054,41577
HAAREN,688624,224912
HILVARENBEEK,980076,345937
BIEST-HOUTAKKER,130244,45797
ESBEEK,208603,60945
DIESSEN,406672,136134
HAGHORST,108326,30888
"OOST WEST EN MIDDELBEERS",719910,719910
"LAGE MIERDE",179561,179561
"HOOGE MIERDE",198443,198443
HULSEL,65216,65216
DONGEN,2036541,760046
"'S GRAVENMOER",216509,93020
BAARLE-NASSAU,727181,260894
ULICOTEN,169615,56945
RIJEN,1409362,509406
MOLENSCHOT,172087,41512
HULTEN,76358,16599
GILZE,798057,275442
"ALPHEN NB",613295,190896
RIEL,306428,115840
WAALWIJK,3074663,1140764
DRUNEN,1527657,604339
ELSHOUT,267249,82428
SPRANG-CAPELLE,938627,363244
WASPIK,487693,183984
KAATSHEUVEL,1439439,547451
"LOON OP ZAND",522296,190330
"DE MOER",99455,32813
'S-HERTOGENBOSCH,9323463,3419170
VLIJMEN,1223458,473626
ROSMALEN,3020666,1135213
UDEN,3428797,3428797
NIEUWKUIJK,298030,107953
HAARSTEEG,213747,78160
"HEUSDEN GEM HEUSDEN",575775,213238
"BERLICUM NB",1018486,399505
VUGHT,2218673,2104
CROMVOIRT,94460,94460
HELVOIRT,567652,196586
SINT-MICHIELSGESTEL,1149412,455798
"DEN DUNGEN",394044,172058
BOXTEL,2192058,850242
GEMONDE,257032,93543
ESCH,193120,79009
LIEMPDE,534560,192948
OSS,5088696,2011413
BERGHEM,763523,299414
GRAVE,725088,725088
"VELP NB",110148,110148
ESCHAREN,89426,89426
MEGEN,166067,64499
MACHAREN,95367,36223
"HAREN NB",74965,30316
RAVENSTEIN,554534,223117
HERPEN,328627,124492
SCHAIJK,751439,751439
REEK,156267,156267
VINKEL,286047,91683
HEESCH,1089030,440342
GEFFEN,478887,187079
NISTELRODE,742999,742999
NULAND,458575,161875
OIJEN,165030,51469
TEEFFELEN,44652,11509
LITHOIJEN,149329,41814
LITH,279667,112478
MAREN-KESSEL,175777,51663
VOLKEL,416685,416685
ODILIAPEEL,286358,286358
ZEELAND,733999,733999
GEMERT,1485029,1485029
HANDEL,193477,193477
ELSENDORP,174332,174332
"DE MORTEL",190217,190217
BOEKEL,1046599,1046599
VENHORST,289398,289398
CUIJK,1417328,1417328
"KATWIJK NB",48168,48168
"VIANEN NB",119402,119402
"SINT AGATHA",46434,46434
"BEERS NB",207675,207675
GASSEL,141581,141581
LINDEN,24888,24888
OEFFELT,245472,245472
HAPS,310035,310035
LANDHORST,98753,98753
WANROIJ,500237,500237
RIJKEVOORT,179875,179875
"RIJKEVOORT-DE WALSERT",17542,17542
MILL,664222,664222
LANGENBOOM,193930,193930
"SINT HUBERT",165103,165103
WILBERTOORD,126273,126273
VEGHEL,2908703,2908703
ERP,930660,930660
LOOSBROEK,152447,152447
HEESWIJK-DINTHER,904455,904455
VORSTENBOSCH,174145,174145
SCHIJNDEL,2194451,2958
SINT-OEDENRODE,2095820,2095820
VELDHOVEN,4099894,4099894
KNEGSEL,146060,146060
VESSEM,295555,295555
WINTELRE,239712,239712
EERSEL,1161090,1161090
STEENSEL,145360,145360
DUIZEL,157785,157785
HAPERT,562282,562282
HOOGELOON,314250,314250
CASTEREN,113867,113867
BLADEL,1143364,1143364
NETERSEL,101665,101665
REUSEL,904832,904832
VALKENSWAARD,3107000,1223638
RIETHOVEN,225908,225908
WESTERHOVEN,249660,2434
BERGEIJK,1271778,436559
LUYKSGESTEL,219093,219093
WAALRE,1681888,1681888
HEEZE,926293,926293
LEENDE,539624,2236
EINDHOVEN,74719,74719
GELDROP,2617044,1017562
NUENEN,2340205,2340205
BEST,2699983,2699983
OIRSCHOT,1162196,1162196
"SON EN BREUGEL",1606592,1606592
HELMOND,7161711,7161711
SOMEREN,1884789,1884789
LIEROP,250638,250638
ASTEN,1487232,1487232
OMMEL,116186,116186
"HEUSDEN GEM ASTEN",373532,373532
MIERLO,1006170,1006170
AARLE-RIXTEL,577163,577163
LIESHOUT,465114,465114
MARIAHOUT,328456,328456
"BEEK EN DONK",915565,915565
LEDEACKER,97340,97340
DEURNE,2795044,2795044
VLIERDEN,155455,155455
LIESSEL,367602,367602
NEERKANT,220508,220508
HELENAVEEN,144645,144645
BAKEL,656678,656678
MILHEEZE,328105,328105
"DE RIPS",164006,164006
GRIENDTSVEEN,53161,22133
MEIJEL,781779,280370
VENRAY,2455316,938765
"OOSTRUM LB",209804,76152
OIRLO,157875,53254
LEUNEN,382026,106941
CASTENRAY,109457,32950
HEIDE,93576,24387
"YSSELSTEYN LB",581168,135095
VEULEN,159117,24080
MERSELO,111063,31653
VREDEPEEL,65194,3261
SMAKT,87621,8322
VIERLINGSBEEK,294170,294170
MAASHEES,104271,104271
HOLTHEES,50262,50262
OVERLOON,450304,450304
GROENINGEN,69503,69503
VORTUM-MULLEM,73033,73033
BOXMEER,1170401,1170401
BEUGEN,217750,217750
SAMBEEK,213372,213372
OPLOO,225438,225438
WESTERBEEK,119723,119723
STEVENSBEEK,103222,103222
"SINT ANTHONIS",513796,513796
"AFFERDEN LB",223690,87819
SIEBENGEWALD,310059,71424
"BERGEN LB",524260,208009
"WELL LB",297789,111073
WELLERLOOI,167017,51813
WANSSUM,207426,87822
GEIJSTEREN,55608,18812
BLITTERSWIJCK,133543,50152
MEERLO,212914,76816
TIENRAY,125402,50771
SWOLGEN,157503,55974
BROEKHUIZENVORST,118262,47861
"BROEKHUIZEN LB",83571,37924
VENLO,5930874,2329118
TEGELEN,1197046,509775
STEYL,272442,139153
VELDEN,503198,211746
LOMM,102861,42369
ARCEN,296154,128611
BELFELD,464772,173147
REUVER,855481,364856
BEESEL,223141,97618
HORST,1356997,484207
MELDERSLO,219483,75734
HEGELSOM,185118,75837
METERIK,188642,68502
AMERICA,302058,80749
GRUBBENVORST,471882,195512
LOTTUM,255609,105371
SEVENUM,766081,265982
KRONENBERG,137550,48993
EVERTSOORD,66667,15135
PANNINGEN,882087,326612
KONINGSLUST,124964,41497
GRASHOEK,210628,60641
BERINGE,304673,87600
EGCHEL,116694,35816
HELDEN,600107,231612
"BAARLO LB",654617,244046
MAASBREE,623753,238190
"KESSEL LB",576181,201131
WEERT,11152,1268
ELL,202258,50460
HALER,73386,21673
HUNSEL,142151,57196
ITTERVOORT,252266,104177
NEERITTER,141716,59071
THORN,272593,128724
WESSEM,255009,110384
BUDEL,1011154,1011154
BUDEL-SCHOOT,195278,195278
BUDEL-DORPLEIN,139381,139381
MAARHEEZE,558074,558074
SOERENDONK,190254,190254
GASTEL,94654,94654
STERKSEL,198392,198392
NEDERWEERT,1046395,352403
NEDERWEERT-EIND,184651,58543
OSPEL,550235,159649
KELPEN-OLER,166360,47699
STRAMPROY,469892,195693
ROERMOND,3894488,1483821
HERTEN,532608,216582
MAASBRACHT,717442,301287
POSTERHOLT,361627,162613
VLODROP,275928,123572
MONTFORT,311495,140010
LINNE,379735,173957
SWALMEN,810180,334738
MELICK,335406,156910
HERKENBOSCH,379770,178766
"SINT ODILIENBERG",316213,141465
HAELEN,439813,186881
BUGGENUM,102630,37039
