Network,Gas,Electricity
ELL,50460,202258
HALER,21673,73386
HUNSEL,57196,142151
ITTERVOORT,104177,252266
NEERITTER,59071,141716
THORN,128724,272593
WESSEM,110384,255009
NEDERWEERT,352403,1046395
NEDERWEERT-EIND,58543,184651
OSPEL,159649,550235
KELPEN-OLER,47699,166360
STRAMPROY,195693,469892
ROERMOND,1483821,3894488
HERTEN,216582,532608
MAASBRACHT,301287,717442
POSTERHOLT,162613,361627
VLODROP,123572,275928
MONTFORT,140010,311495
LINNE,173957,379735
SWALMEN,334738,810180
MELICK,156910,335406
HERKENBOSCH,178766,379770
"SINT ODILIENBERG",141465,316213
HAELEN,186881,439813
BUGGENUM,37039,102630
NUNHEM,31266,79812
HORN,159167,362745
NEER,138668,393866
ROGGEL,184697,511942
HEIBLOEM,28461,97820
LEVEROY,44512,137849
HEYTHUYSEN,247066,714666
BAEXEM,103495,290549
GRATHEM,60031,177698
HEEL,192512,440282
BEEGDEN,70402,173918
ECHT,620699,1516106
KONINGSBOSCH,75108,193729
"MARIA HOOP",44498,138172
STEVENSWEERT,74031,159341
"OHE EN LAAK",42570,93951
"SINT JOOST",50462,111549
SUSTEREN,319647,729250
ROOSTEREN,74639,181291
NIEUWSTADT,125750,288421
BORN,197837,518140
BUCHTEN,88714,182830
HOLTUM,59064,113250
PAPENHOVEN,43012,85795
OBBICHT,76965,163501
GREVENBICHT,103698,200931
URMOND,208825,505713
SITTARD,1471190,3795365
LIMBRICHT,116756,241325
EINIGHAUSEN,57998,128594
GUTTECOVEN,56010,118340
MUNSTERGELEEN,210232,438397
WINDRAAK,7615,35093
PUTH,81873,170855
GELEEN,1223610,3069623
"STEIN LB",456339,1035379
SWEIKHUIZEN,36143,67454
SPAUBEEK,134416,296760
"ELSLOO LB",355082,789795
"BEEK LB",503779,1166068
MAASTRICHT-AIRPORT,11854,15999
MAASTRICHT,3996538,9540334
MEERSSEN,314089,729564
ULESTRATEN,144696,313536
MOORVELD,19365,39244
BUNDE,229777,499676
GEULLE,116614,235405
EIJSDEN,337748,761473
GRONSVELD,147927,325880
ECKELRADE,25659,50399
NOORBEEK,70158,164881
MHEER,46919,83102
BANHOLT,42752,86765
"SINT GEERTRUID",62839,142450
"CADIER EN KEER",183337,334473
BEMELEN,24335,54460
MARGRATEN,177622,390051
GULPEN,152438,406030
INGBER,9766,30803
REIJMERSTOK,28674,88544
HEIJENRATH,3877,37545
SLENAKEN,23485,60084
BEUTENAKEN,3447,4291
MECHELEN,101087,219567
EPEN,57655,156502
WITTEM,85912,186762
EYS,85678,170624
ELKENRADE,2790,3950
VAALS,266565,575442
VIJLEN,65557,176802
LEMIERS,46845,85315
"VALKENBURG LB",543900,1244828
"SCHIN OP GEUL",67997,130548
SCHEULDER,9452,20344
RANSDAAL,42340,89420
WIJLRE,99021,206178
"BERG EN TERBLIJT",199363,429073
SCHIMMERT,152055,371996
HULSBERG,187842,393633
WALEM,4731,10812
KLIMMEN,153014,323725
BOCHOLTZ,205521,434008
NUTH,263875,630933
WIJNANDSRADE,81157,185852
SCHINNEN,104866,241694
VOERENDAAL,340774,754702
SIMPELVELD,250715,541203
LANDGRAAF,1372198,3111180
HEERLEN,2440673,5946947
HOENSBROEK,698060,1694788
AMSTENRADE,117762,259674
OIRSBEEK,163524,350499
DOENRADE,41529,81330
BRUNSSUM,1026222,2472343
MERKELBEEK,78349,165421
SCHINVELD,208513,435905
JABEEK,30597,60538
BINGELRADE,32813,60579
KERKRADE,1528332,3534988
EYGELSHOVEN,222246,487986
"MOLENHOEK LB",144376,319419
MOOK,138593,324652
PLASMOLEN,20693,58001
MIDDELAAR,30760,67640
GENNEP,326246,822968
OTTERSUM,73338,210440
VEN-ZELDERHEIDE,31827,111831
MILSBEEK,117623,262124
HEIJEN,88320,248387
RIETMOLEN,38516
DEVENTER,2667374,6683916
COLMSCHATE,39464,117925
DIEPENVEEN,192917,405109
SCHALKHAAR,210694,482835
LETTELE,58666,168327
OKKENBROEK,22483,63795
BATHMEN,257833,640427
STEENENKAMER,9609
NIJVERDAL,956039,2221186
HELLENDOORN,275813,651410
"HAARLE GEM HELLENDOORN",96300,360108
HOLTEN,462924,1139617
RIJSSEN,1039095,2394453
ZUNA,4448,44707
HAAKSBERGEN,934123,2545355
ENSCHEDE,4879716,12770088
"HENGELO OV",2477668,7458835
LOSSER,579114,1289415
GLANE,20276,55656
OVERDINKEL,177776,411443
"DE LUTTE",144402,393745
"BEUNINGEN OV",28700,91613
VROOMSHOOP,2061,920682
BEERZERVELD,44313,115308
DAARLERVEEN,59389,112592
DAARLE,68934,222839
NIEUWLEUSEN,371767,877515
PUNTHORST,5493,123328
DALFSEN,606175,1608819
OMMEN,484268,1114780
VILSTEREN,12999,35153
ARRIEN,19094,61395
BEERZE,11966,25085
STEGEREN,15760,56077
WITHAREN,39343,101523
VINKENBUURT,22865,92207
SCHOONEBEEK,205279,454137
ZANDPOL,20994,44664
WEITEVEEN,67007,150559
NIEUW-SCHOONEBEEK,62012,143568
EMMEN,2256465,5164827
NIEUW-WEERDINGE,165496,354761
NIEUW-AMSTERDAM,207164,464052
SLEEN,122017,220187
DIPHOORN,3768,7900
ERM,30161,61661
VEENOORD,103058,211482
HOLSLOOT,7506,34524
NOORD-SLEEN,35003,119246
"'T HAANTJE",8494,15343
SCHOONOORD,103796,202996
"DE KIEL",18956,41084
ZWEELOO,26464,71524
WEZUP,9838,36760
WEZUPERBRUG,7218,25978
AALDEN,72812,139565
MEPPEN,19823,40781
BENNEVELD,2578,7875
EESERVEEN,12542,38717
KLIJNDIJK,31895,56389
VALTHE,64973,118344
ODOORN,94769,167516
ODOORNERVEEN,20410,55268
EXLOO,83064,178179
VALTHERMOND,181515,364373
"2E VALTHERMOND",9013,22459
EMMER-COMPASCUUM,367189,795585
BARGER-COMPASCUUM,84613,167740
NIEUW-DORDRECHT,78743,186811
ERICA,234560,501112
KLAZIENAVEEN-NOORD,9660,22888
KLAZIENAVEEN,491740,1088834
ZWARTEMEER,133253,259187
ROSWINKEL,46548,98194
NIEUWEROORD,5971,80130
TIENDEVEEN,14131,87700
NIEUW-BALINGE,32744,80878
ROUVEEN,2505,335638
ZWOLLE,3961061,10035998
"LAAG ZUTHEM",21156,73722
HASSELT,266708,656625
"NOORDEINDE GLD",8972
"OOSTERWOLDE GLD",9831
RAALTE,760704,1813396
LUTTENBERG,104284,267413
MARIENHEEM,71842,245981
"BROEKLAND OV",43844,144307
HEETEN,138618,423149
"NIEUW HEETEN",41004,137941
OLST,308268,751531
WESEPE,62500,141730
WIJHE,300195,791951
HEINO,319491,738416
LIERDERHOLTHUIS,21635,58871
DALMSHOLTE,9977,48575
GIETHMEN,6395,24046
LEMELE,52378,144917
LEMELERVELD,185921,518867
WELSUM,28774,89385
MARLE,4880
KAMPEN,1288326,3067167
KAMPERVEEN,39883,130095
IJSSELMUIDEN,360863,914100
WILSUM,30996,80926
'S-HEERENBROEK,17721,46230
ZALK,25485,79448
GRAFHORST,28719,54767
GENEMUIDEN,385799,946466
MASTENBROEK,10537,101446
VOLLENHOVE,156273,386158
"SINT JANSKLOOSTER",97590,233279
SURHUIZUM,1830,5823
RODEN,719612,1362888
LIEVEREN,12255,24356
RODERESCH,15229,35174
"ALTEVEER GEM NOORDENVELD",10061,12769
"STEENBERGEN DR",15896,41284
NIEUW-RODEN,72856,151021
NIETAP,55756,93654
LEUTINGEWOLDE,5444,18990
FOXWOLDE,13761,26348
RODERWOLDE,18383,41387
PEIZE,274577,558174
NORG,171344,316469
"LANGELO DR",12666,25769
PEEST,6907,15110
ZUIDVELDE,15876,79556
"HUIS TER HEIDE DR",5581,15467
WESTERVELDE,9879,30196
VEENHUIZEN,59150,113001
EEN,42707,96228
EEN-WEST,11585,59011
LEEK,503729,1026733
"ZEVENHUIZEN GN",158439,308543
MIDWOLDE,26122,63338
TOLBERT,197729,414566
BOERAKKER,19808,42439
